"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Peyton Manning",2014,"QB","Den",352.291002874746,336.074394338522,355.498614285714,365.3,310.68
"Ladainian Tomlinson",2008,"RB","Sdg",351.8,NA,351.8,NA,251.6
"Aaron Rodgers",2012,"QB","Gnb",345.83564730605,312.2312946121,379.44,NA,350.1
"Drew Brees",2014,"QB","Nor",333.985671176674,321.983677998886,340.173335531135,339.8,307.48
"Drew Brees",2013,"QB","Nor",332.778549748467,323.335366163601,342.221733333333,NA,361.68
"Aaron Rodgers",2013,"QB","Gnb",327.148260653586,308.709721307171,345.5868,NA,168.44
"Aaron Rodgers",2017,"QB","Gnb",326.2132480675,304.897077535834,336.122666666667,337.62,131.6
"Andrew Luck",2015,"QB","Ind",322.973830211283,283.315272452031,341.246218181818,344.36,131.84
"Drew Brees",2012,"QB","Nor",322.291919530811,307.914339061622,336.6695,NA,348.58
"Aaron Rodgers",2014,"QB","Gnb",317.524952735299,271.531975788316,337.622882417582,343.42,353.14
"Tom Brady",2012,"QB","Nwe",316.698872785034,278.112745570069,355.285,NA,341.28
"Cam Newton",2016,"QB","Car",313.938628724012,260.565019505369,335.190866666667,346.06,254.26
"Tom Brady",2008,"QB","Nwe",312.84,NA,312.84,NA,3.04
"Aaron Rodgers",2015,"QB","Gnb",309.537227808261,273.194653121753,330.15703030303,325.26,302.24
"Peyton Manning",2015,"QB","Den",307.734117984492,321.805929711053,299.496424242424,301.9,91.36
"Russell Wilson",2016,"QB","Sea",300.932435165863,265.103705497588,317.1736,320.52,267.06
"Aaron Rodgers",2016,"QB","Gnb",299.925369232171,253.619241029845,319.696866666667,326.46,379.02
"Tom Brady",2017,"QB","Nwe",299.676775948351,264.502550067275,316.887777777778,317.64,295.88
"Peyton Manning",2013,"QB","Den",299.452080829335,277.057361658669,321.8468,NA,415.98
"Tom Brady",2013,"QB","Nwe",297.179495177919,285.129390355838,309.2296,NA,249.52
"Drew Brees",2015,"QB","Nor",294.698769416262,292.206708248786,296.7696,295.12,308.2
"Drew Brees",2017,"QB","Nor",294.532184987997,274.435777186214,300.660777777778,308.5,261.56
"Matthew Stafford",2014,"QB","Det",293.780048468803,273.615358959521,299.424786446886,308.3,255.58
"Russell Wilson",2018,"QB","Sea",292.772486879565,263.792016194249,315.365444444445,299.16,NA
"Andrew Luck",2016,"QB","Ind",292.417733949728,260.727868515852,302.205333333333,314.32,309.7
"Drew Brees",2016,"QB","Nor",288.552268363038,273.503405089113,289.0334,303.12,342.32
"Aaron Rodgers",2018,"QB","Gnb",287.53097308429,209.971608141758,335.041311111111,317.58,NA
"Matthew Ryan",2013,"QB","Atl",285.373536998128,272.639207329589,298.107866666667,NA,254.1
"Antonio Brown",2016,"WR","Pit",285.1206498957,257.73973989048,312.501559900921,293.8,261.733333333333
"David Johnson",2017,"RB","Ari",285.034230234694,213.508246259636,319.994444444445,321.6,10
"Matthew Ryan",2017,"QB","Atl",285.018803233879,271.157965257192,294.698444444444,289.2,229.1
"Steven Jackson",2008,"RB","Lar",283,NA,283,NA,203.1
"Matthew Stafford",2012,"QB","Det",281.705438484612,236.190376969224,327.2205,NA,280.08
"Drew Brees",2010,"QB","Nor",280.91428810576,268.228576211519,293.6,NA,274.7
"Aaron Rodgers",2011,"QB","Gnb",280.116834954163,252.053669908326,308.18,NA,397.42
"Leveon Bell",2017,"RB","Pit",280.07350077237,237.951752317109,302.06875,300.2,298.1
"Arian Foster",2012,"RB","Hou",279.810089076711,225.420178153422,334.2,NA,282.1
"Deshaun Watson",2018,"QB","Hou",279.791834032654,253.123302097964,305.7122,280.54,NA
"Russell Wilson",2015,"QB","Sea",278.943847024757,218.90175925609,311.129781818182,306.8,342.26
"Carson Wentz",2018,"QB","Phi",278.03115415187,261.754306900055,288.739155555556,283.6,NA
"Matthew Ryan",2014,"QB","Atl",277.81929036621,250.742376226834,288.355494871795,294.36,285.26
"Tom Brady",2018,"QB","Nwe",277.747091689465,226.856208401729,307.585066666667,298.8,NA
"Brian Westbrook",2008,"RB","Phi",277.2,NA,277.2,NA,241.8
"Cam Newton",2012,"QB","Car",276.775906573143,217.488813146286,336.063,NA,323.86
