"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Peyton Manning",2014,"QB","Den",358.563651410869,354.892339946892,355.498614285714,365.3,325.68
"Aaron Rodgers",2012,"QB","Gnb",354.813075356176,330.186150712351,379.44,NA,358.6
"Ladainian Tomlinson",2008,"RB","Sdg",351.8,NA,351.8,NA,277.6
"Drew Brees",2013,"QB","Nor",342.051918754393,341.882104175453,342.221733333333,NA,373.68
"Drew Brees",2014,"QB","Nor",340.028501122648,340.11216783681,340.173335531135,339.8,326.98
"Aaron Rodgers",2013,"QB","Gnb",335.976690746122,326.366581492245,345.5868,NA,175.44
"Aaron Rodgers",2017,"QB","Gnb",331.644276798542,321.190163728959,336.122666666667,337.62,137.6
"Drew Brees",2012,"QB","Nor",331.269175344958,325.868850689915,336.6695,NA,366.58
"Andrew Luck",2015,"QB","Ind",328.174016975846,298.915832745721,341.246218181818,344.36,140.84
"Tom Brady",2012,"QB","Nwe",324.976032938219,294.667065876438,355.285,NA,348.28
"Aaron Rodgers",2014,"QB","Gnb",322.684698901787,287.011214287778,337.622882417582,343.42,359.14
"Cam Newton",2016,"QB","Car",318.755394102509,275.015315640861,335.190866666667,346.06,268.26
"Aaron Rodgers",2015,"QB","Gnb",314.585064097806,288.338161990387,330.15703030303,325.26,309.24
"Peyton Manning",2015,"QB","Den",313.607967341947,339.427477783416,299.496424242424,301.9,108.36
"Tom Brady",2008,"QB","Nwe",312.84,NA,312.84,NA,3.04
"Antonio Brown",2016,"WR","Pit",310.51061082996,308.519661759,312.501559900921,293.8,307.3
"Peyton Manning",2013,"QB","Den",307.585236198491,293.323672396981,321.8468,NA,425.98
"Russell Wilson",2016,"QB","Sea",305.834968094614,279.811304283842,317.1736,320.52,279.06
"Tom Brady",2013,"QB","Nwe",305.504364180552,301.779128361103,309.2296,NA,262.52
"Aaron Rodgers",2016,"QB","Gnb",304.649767924978,267.792437108267,319.696866666667,326.46,387.02
"Tom Brady",2017,"QB","Nwe",304.474544663094,278.895856211505,316.887777777778,317.64,303.88
"Drew Brees",2015,"QB","Nor",300.107659088224,308.433377264671,296.7696,295.12,319.2
"Drew Brees",2017,"QB","Nor",299.480877968789,289.28185612859,300.660777777778,308.5,270.56
"Matthew Stafford",2014,"QB","Det",299.011617795713,289.310066940254,299.424786446886,308.3,265.58
"Calvin Johnson",2013,"WR","Det",298.729590410691,315.567180821381,281.892,NA,303.2
"Andrew Luck",2016,"QB","Ind",297.229977348147,275.164598711108,302.205333333333,314.32,322.7
"Todd Gurley",2018,"RB","Lar",295.351075464164,239.453226392493,323.3,323.3,NA
"Arian Foster",2012,"RB","Hou",295.097096055126,255.994192110252,334.2,NA,302.1
"Leveon Bell",2018,"RB","Pit",294.992963360706,245.578890082119,319.7,319.7,NA
"David Johnson",2017,"RB","Ari",294.8471269982,242.946936550155,319.994444444445,321.6,13
"Drew Brees",2016,"QB","Nor",293.5845231412,288.600169423599,289.0334,303.12,355.32
"Matthew Ryan",2013,"QB","Atl",293.294190072048,288.480513477429,298.107866666667,NA,271.1
"Russell Wilson",2018,"QB","Sea",291.48533382549,277.89600147647,298.28,298.28,NA
"Maurice Jones Drew",2009,"RB","Jax",290.1,NA,290.1,NA,323.5
"Matthew Ryan",2017,"QB","Atl",289.936831681466,285.912050599955,294.698444444444,289.2,242.1
"Drew Brees",2010,"QB","Nor",288.982210235248,284.364420470496,293.6,NA,296.2
"Matthew Stafford",2012,"QB","Det",288.59024879274,249.95999758548,327.2205,NA,297.58
"Aaron Rodgers",2011,"QB","Gnb",287.76648065286,267.35296130572,308.18,NA,403.42
"Carson Wentz",2018,"QB","Phi",287.747316597117,275.761949791351,293.74,293.74,NA
"Calvin Johnson",2014,"WR","Det",287.249098842958,300.081888217608,274.416309468309,276.4,226.7
"Chris Johnson",2010,"RB","Ten",286.031656630598,264.263313261196,307.8,NA,272.9
"Tom Brady",2018,"QB","Nwe",284.950242042853,238.93072612856,307.96,307.96,NA
"Deshaun Watson",2018,"QB","Hou",284.018749849042,266.816249547126,292.62,292.62,NA
"Cam Newton",2012,"QB","Car",283.187953259292,230.312906518585,336.063,NA,338.86
"Russell Wilson",2015,"QB","Sea",283.110612307877,231.40205510545,311.129781818182,306.8,348.26
"Aaron Rodgers",2018,"QB","Gnb",283.081847342887,220.845542028662,314.2,314.2,NA
"Steven Jackson",2008,"RB","Lar",283,NA,283,NA,224.1
"Leveon Bell",2017,"RB","Pit",282.684021772022,245.783315316066,302.06875,300.2,341.6
"Matthew Ryan",2014,"QB","Atl",282.666927650375,265.28528807933,288.355494871795,294.36,300.26
"Julio Jones",2016,"WR","Atl",282.053140691013,287.2319043979,276.874376984127,273.8,259.9
"Antonio Brown",2015,"WR","Pit",281.716617276283,271.400883173589,292.032351378976,262,386.2
"Drew Brees",2011,"QB","Nor",281.317309072483,285.534618144965,277.1,NA,401.64
"Ray Rice",2012,"RB","Bal",281.300477166135,262.53345433227,300.0675,NA,283.1
"Arian Foster",2011,"RB","Hou",281.062459248159,253.324918496318,308.8,NA,303.1
"Tom Brady",2009,"QB","Nwe",280.96,NA,280.96,NA,285.32
"Tom Brady",2014,"QB","Nwe",280.904360388015,263.00344673181,289.129634432235,290.58,293.06
"Jamaal Charles",2014,"RB","Kan",280.233023269207,254.718484948035,292.280584859585,293.7,250.4
"Andrew Luck",2014,"QB","Ind",279.723637272026,230.072812914979,303.198098901099,305.9,377.74
"Matthew Ryan",2015,"QB","Atl",279.039547899563,270.096401274446,286.082242424242,280.94,253.94
"Brian Westbrook",2008,"RB","Phi",277.2,NA,277.2,NA,269.8
"Ray Rice",2010,"RB","Bal",276.693260682335,270.18652136467,283.2,NA,276.6
"Odell Beckham",2016,"WR","Nyg",276.211190952693,283.707588254591,268.714793650794,268.3,296.6
"Odell Beckham",2015,"WR","Nyg",276.068167418766,299.414552684889,252.721782152643,242.3,319.3
"Russell Wilson",2017,"QB","Sea",275.502167975332,229.101392814884,291.845111111111,305.56,360.92
"Tom Brady",2015,"QB","Nwe",274.43794240226,265.372160540113,271.461666666667,286.48,355.7
"Ladainian Tomlinson",2009,"RB","Sdg",274.1,NA,274.1,NA,176.4
"Cam Newton",2018,"QB","Car",274.060142502786,249.260427508359,286.46,286.46,NA
"Russell Wilson",2014,"QB","Sea",273.846577509034,253.00528124505,278.954451282051,289.58,335.6
"Matthew Forte",2009,"RB","Chi",273.4,NA,273.4,NA,215
"Benjamin Roethlisberger",2015,"QB","Pit",273.335200257315,251.173073499219,281.652527272727,287.18,228.42
"Lesean Mccoy",2014,"RB","Phi",273.325388413907,255.817708198763,282.158457042957,282,199.4
"Derek Carr",2017,"QB","Oak",272.599282593745,275.432292225679,262.165555555555,280.2,217.44
"Dak Prescott",2017,"QB","Dal",272.508155342093,260.841577137389,271.002888888889,285.68,279.66
