"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Peyton Manning",2014,"QB","Den",358.681756994987,355.246656699246,355.498614285714,365.3,325.68
"Aaron Rodgers",2012,"QB","Gnb",354.912998844818,330.385997689636,379.44,NA,357.6
"Ladainian Tomlinson",2008,"RB","Sdg",351.8,NA,351.8,NA,225.6
"Drew Brees",2013,"QB","Nor",342.224707614736,342.227681896139,342.221733333333,NA,373.68
"Drew Brees",2014,"QB","Nor",340.127729519918,340.409853028618,340.173335531135,339.8,325.98
"Aaron Rodgers",2013,"QB","Gnb",336.103680107219,326.620560214438,345.5868,NA,175.44
"Aaron Rodgers",2017,"QB","Gnb",331.672814063851,321.275775524886,336.122666666667,337.62,137.6
"Drew Brees",2012,"QB","Nor",331.390968207897,326.112436415794,336.6695,NA,366.58
"Andrew Luck",2015,"QB","Ind",328.196175530326,298.982308409159,341.246218181818,344.36,140.84
"Tom Brady",2012,"QB","Nwe",325.073554316449,294.862108632899,355.285,NA,348.28
"Aaron Rodgers",2014,"QB","Gnb",322.731480811463,287.151560016807,337.622882417582,343.42,359.14
"Cam Newton",2016,"QB","Car",318.755784373174,275.016486452857,335.190866666667,346.06,268.26
"Aaron Rodgers",2015,"QB","Gnb",314.615048365214,288.428114792611,330.15703030303,325.26,309.24
"Peyton Manning",2015,"QB","Den",313.68454150157,339.657200262287,299.496424242424,301.9,108.36
"Tom Brady",2008,"QB","Nwe",312.84,NA,312.84,NA,3.04
"Peyton Manning",2013,"QB","Den",307.708278819721,293.569757639441,321.8468,NA,425.98
"Russell Wilson",2016,"QB","Sea",305.838043839717,279.820531519152,317.1736,320.52,277.06
"Tom Brady",2013,"QB","Nwe",305.632611921128,302.035623842257,309.2296,NA,262.52
"Aaron Rodgers",2016,"QB","Gnb",304.655889762243,267.810802620063,319.696866666667,326.46,387.02
"Tom Brady",2017,"QB","Nwe",304.495334302457,278.958225129594,316.887777777778,317.64,303.88
"Drew Brees",2015,"QB","Nor",300.158720839232,308.586562517695,296.7696,295.12,319.2
"Drew Brees",2017,"QB","Nor",299.504348984117,289.352269174575,300.660777777778,308.5,270.56
"Matthew Stafford",2014,"QB","Det",299.044409944013,289.408443385154,299.424786446886,308.3,265.58
"Andrew Luck",2016,"QB","Ind",297.230164106722,275.165158986832,302.205333333333,314.32,322.7
"Drew Brees",2016,"QB","Nor",293.61073874804,288.678816244121,289.0334,303.12,355.32
"Matthew Ryan",2013,"QB","Atl",293.367838983463,288.62781130026,298.107866666667,NA,271.1
"Russell Wilson",2018,"QB","Sea",291.486425433441,277.899276300322,298.28,298.28,NA
"Maurice Jones Drew",2009,"RB","Jax",290.1,NA,290.1,NA,270.5
"Matthew Ryan",2017,"QB","Atl",289.944134647331,285.933959497549,294.698444444444,289.2,242.1
"Drew Brees",2010,"QB","Nor",288.882145873657,284.164291747314,293.6,NA,295.2
"Matthew Stafford",2012,"QB","Det",288.575150944954,249.929801889907,327.2205,NA,296.58
"Carson Wentz",2018,"QB","Phi",287.738442672502,275.735328017505,293.74,293.74,NA
"Aaron Rodgers",2011,"QB","Gnb",287.687532763024,267.195065526048,308.18,NA,403.42
"Tom Brady",2018,"QB","Nwe",284.961639617829,238.964918853487,307.96,307.96,NA
"Deshaun Watson",2018,"QB","Hou",283.997054242864,266.751162728591,292.62,292.62,NA
"Cam Newton",2012,"QB","Car",283.145602619349,230.228205238699,336.063,NA,338.86
"Russell Wilson",2015,"QB","Sea",283.092252086972,231.346974442733,311.129781818182,306.8,348.26
"Aaron Rodgers",2018,"QB","Gnb",283.085040416801,220.855121250403,314.2,314.2,NA
"Steven Jackson",2008,"RB","Lar",283,NA,283,NA,184.1
"Matthew Ryan",2014,"QB","Atl",282.690047319113,265.354647085546,288.355494871795,294.36,300.26
"Drew Brees",2011,"QB","Nor",281.233682679218,285.367365358437,277.1,NA,401.64
"Tom Brady",2009,"QB","Nwe",280.96,NA,280.96,NA,285.32
"Tom Brady",2014,"QB","Nwe",280.943278223053,263.120200236926,289.129634432235,290.58,293.06
"Andrew Luck",2014,"QB","Ind",279.71166481331,230.036895538832,303.198098901099,305.9,377.74
"Matthew Ryan",2015,"QB","Atl",279.051459644336,270.132136508766,286.082242424242,280.94,253.94
"Todd Gurley",2018,"RB","Lar",278.728789436259,189.586368308777,323.3,323.3,NA
"Brian Westbrook",2008,"RB","Phi",277.2,NA,277.2,NA,215.8
"David Johnson",2017,"RB","Ari",276.602587574891,188.213318280227,319.994444444445,321.6,7
"Leveon Bell",2018,"RB","Pit",276.20040498903,189.20121496709,319.7,319.7,NA
"Russell Wilson",2017,"QB","Sea",275.47796023747,229.028769601298,291.845111111111,305.56,360.92
"Tom Brady",2015,"QB","Nwe",274.463725862396,265.44951092052,271.461666666667,286.48,354.7
"Ladainian Tomlinson",2009,"RB","Sdg",274.1,NA,274.1,NA,156.4
"Cam Newton",2018,"QB","Car",274.041536568161,249.204609704483,286.46,286.46,NA
"Russell Wilson",2014,"QB","Sea",273.853383697651,253.025699810901,278.954451282051,289.58,334.6
"Matthew Forte",2009,"RB","Chi",273.4,NA,273.4,NA,158
"Benjamin Roethlisberger",2015,"QB","Pit",273.347106543379,251.20879235741,281.652527272727,287.18,228.42
"Derek Carr",2017,"QB","Oak",272.587810970323,275.397877355413,262.165555555555,280.2,217.44
"Cam Newton",2014,"QB","Car",272.49033573504,241.255832846146,287.235174358974,288.98,266.98
"Dak Prescott",2017,"QB","Dal",272.479525524967,260.755687686011,271.002888888889,285.68,279.66
"Arian Foster",2012,"RB","Hou",272.185420828442,210.170841656884,334.2,NA,262.1
"Drew Brees",2009,"QB","Nor",272.1,NA,272.1,NA,315.42
"Philip Rivers",2011,"QB","Sdg",271.447677153872,272.855354307743,270.04,NA,280.56
"Tony Romo",2015,"QB","Dal",271.313747474686,260.782418181635,275.798824242424,277.36,49.66
"Aaron Rodgers",2010,"QB","Gnb",271.103151922229,234.066303844457,308.14,NA,315.48
"Cam Newton",2013,"QB","Car",270.783294329894,222.757788659788,318.8088,NA,312.66
"Philip Rivers",2017,"QB","Sdg",270.459307297415,276.54420760653,253.813714285714,281.02,282.4
"Blake Bortles",2016,"QB","Jax",270.441948589358,250.766179101407,276.299666666667,284.26,292.1
"Peyton Manning",2010,"QB","Ind",270.43301306836,267.506026136719,273.36,NA,304.8
"Tony Romo",2014,"QB","Dal",270.359444879857,240.102339767775,280.895994871795,290.08,279.3
"Philip Rivers",2016,"QB","Sdg",270.351610111545,260.373697001303,272.221133333333,278.46,289.94
"Matthew Stafford",2016,"QB","Det",270.304097759298,278.296159944561,264.256133333333,268.36,291.78
"Eli Manning",2016,"QB","Nyg",270.257176206973,261.296328620919,269.6952,279.78,248.18
"Marcus Mariota",2017,"QB","Ten",270.09593825049,257.826481418136,269.041333333333,283.42,225.48
"Andrew Luck",2018,"QB","Ind",269.575626725056,261.726880175168,273.5,273.5,NA
"Benjamin Roethlisberger",2016,"QB","Pit",269.275916904769,241.993217380974,279.214533333333,286.62,263.16
"Matthew Ryan",2012,"QB","Atl",269.022453838255,264.729407676511,273.3155,NA,320.86
"Russell Wilson",2013,"QB","Sea",269.003873089025,257.034679511384,280.973066666667,NA,289.18
"Matthew Stafford",2018,"QB","Det",268.623071299715,263.589213899145,271.14,271.14,NA
"Eli Manning",2012,"QB","Nyg",268.21339635577,261.909292711541,274.5175,NA,249.92
"Derek Carr",2016,"QB","Oak",267.784182763679,276.24728162437,260.025266666667,267.08,268.48
"Randy Moss",2008,"WR","Nwe",267.4,NA,267.4,NA,162.8
"Cam Newton",2017,"QB","Car",267.242677584533,238.237143864709,275.710888888889,287.78,313.48
"Peyton Manning",2012,"QB","Den",266.98123428713,265.372968574259,268.5895,NA,323.96
"Jameis Winston",2017,"QB","Tam",266.635262679051,236.035121370486,274.950666666667,288.92,222.66
"Philip Rivers",2014,"QB","Sdg",265.190033903029,256.979352991139,268.290748717949,270.3,287.64
"Chris Johnson",2010,"RB","Ten",265.131732409303,222.463464818607,307.8,NA,228.9
"Leveon Bell",2017,"RB","Pit",264.863307568337,192.321172705011,302.06875,300.2,256.6
