"Player","Season","DepthTeam","DepthPos","Madden.Rating","ReservePos","PosFFA","fantPts_est","fantPts_FFTODAY","fantPts_FFA","fantPts_FDATA","fantPts_agg","fantPts"
"Peyton Manning",2014,"Den","QB",98,NA,"QB",392.06538161952,373,367.721471428571,377.3,379.02895101603,325.68
"Aaron Rodgers",2012,"Gnb","QB",99,NA,"QB",362.19779214803,387.5,388.106666666667,NA,375.152229407348,358.1
"Drew Brees",2012,"Nor","QB",98,NA,"QB",358.286990141581,326.7,352.4195,NA,355.353245070791,366.58
"Andrew Luck",2015,"Ind","QB",94,NA,"QB",343.236000152019,357.4,356.383490909091,359.36,352.993163687037,140.84
"Drew Brees",2014,"Nor","QB",96,NA,"QB",350.292207867334,344.4,353.934764102564,353.8,352.675657323299,326.48
"Aaron Rodgers",2014,"Gnb","QB",98,NA,"QB",350.703268824227,344.2,346.905739560439,351.42,349.676336128222,359.14
"Drew Brees",2013,"Nor","QB",96,NA,"QB",332.694619136398,357,359.161733333333,NA,345.928176234865,373.68
"Tom Brady",2012,"Nwe","QB",98,NA,"QB",322.773267122742,341.7,366.785,NA,344.779133561371,348.28
"Aaron Rodgers",2013,"Gnb","QB",98,NA,"QB",332.136128514131,344.7,355.3868,NA,343.761464257066,175.44
"Aaron Rodgers",2017,"Gnb","QB",98,NA,"QB",323.777771822517,355.7,344.900444444444,345.62,338.099405422321,137.6
"Aaron Rodgers",2015,"Gnb","QB",99,NA,"QB",321.687561615674,337.9,339.022484848485,334.26,331.65668215472,309.24
"Cam Newton",2016,"Car","QB",94,NA,"QB",282.501660801865,338.6,347.930866666667,358.06,329.497509156177,268.26
"Aaron Rodgers",2018,"Gnb","QB",99,NA,"QB",314.482374363841,349.8,341.438825,329.14,328.35373312128,NA
"Ladainian Tomlinson",2008,"Sdg","RB",99,NA,"RB",299.03,349.8,351.8,NA,325.415,251.6
"Aaron Rodgers",2016,"Gnb","QB",96,NA,"QB",310.824328626361,339.1,327.956866666667,334.46,324.413731764342,387.02
"Peyton Manning",2013,"Den","QB",97,NA,"QB",314.710246797101,314.6,333.6268,NA,324.168523398551,425.98
"Tom Brady",2017,"Nwe","QB",99,NA,"QB",315.046148159337,335.4,325.821111111111,326.64,322.502419756816,303.88
"Matthew Stafford",2014,"Det","QB",87,NA,"QB",321.847290502662,291.1,316.393357875458,325.3,321.18021612604,265.58
"Tom Brady",2013,"Nwe","QB",97,NA,"QB",317.099043278798,293.8,319.9696,NA,318.534321639399,262.52
"Andrew Luck",2016,"Ind","QB",88,NA,"QB",301.037010344123,315.2,319.575333333333,331.32,317.310781225819,322.7
